Unnamed: 0,sentence_original,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category,sentence_paraphrase_1,sentence_paraphrase_2,sentence_paraphrase_3,sentence_original_stripped,sentence_paraphrase_1_stripped,sentence_paraphrase_2_stripped,sentence_paraphrase_3_stripped,sentence_original_length,sentence_paraphrase_1_length,sentence_paraphrase_2_length,sentence_paraphrase_3_length,sentence_paraphrase_closest,sentence_paraphrase_closest_candidate_num,diff_sentence_length_original_paraphrase,sentence_paraphrase_post_inspection,manual_candidate_choice,manual_replacement
344,Drunk driving of any vehicle is a crime in most of the world.,101,384sentences.101,384sentences,384sentences.crime,26,Driving_under_the_influence,crime,"In the majority of the world, drunk driving is considered a criminal offense.",Most countries consider drunk driving a crime.,Drunk driving is illegal in the majority of the world.,drunk driving of any vehicle is a crime in most of the world.,in the majority of the world drunk driving is considered a criminal offense.,most countries consider drunk driving a crime.,drunk driving is illegal in the majority of the world.,13,13,7,10,in the majority of the world drunk driving is considered a criminal offense.,1,0,in the majority of the world drunk driving is considered a criminal offense.,,
345,It plays a role in almost half of all vehicle-related deaths.,102,384sentences.102,384sentences,384sentences.crime,26,Driving_under_the_influence,crime,Almost half of all fatalities related to vehicles are attributed to drunk driving.,Drunk driving is a factor in nearly half of all vehicle-related deaths.,Nearly half of all vehicle-related deaths can be traced back to drunk driving.,it plays a role in almost half of all vehicle-related deaths.,almost half of all fatalities related to vehicles are attributed to drunk driving.,drunk driving is a factor in nearly half of all vehicle-related deaths.,nearly half of all vehicle-related deaths can be traced back to drunk driving.,11,13,12,13,drunk driving is a factor in nearly half of all vehicle-related deaths.,2,1,drunk driving is a factor in nearly half of all vehicle-related deaths.,,
346,Drunk drivers are caught by field sobriety and breathing tests.,103,384sentences.103,384sentences,384sentences.crime,26,Driving_under_the_influence,crime,Field sobriety and breath tests are used to catch drunk drivers.,Drunk drivers can be detected through the use of field sobriety and breathing tests.,Field sobriety and breathing tests are employed to apprehend drunk drivers.,drunk drivers are caught by field sobriety and breathing tests.,field sobriety and breath tests are used to catch drunk drivers.,drunk drivers can be detected through the use of field sobriety and breathing tests.,field sobriety and breathing tests are employed to apprehend drunk drivers.,10,11,14,11,field sobriety and breath tests are used to catch drunk drivers.,1,1,field sobriety and breath tests are used to catch drunk drivers.,,
347,A drought is a persistent shortage of the water supply caused by lack of rain.,104,384sentences.104,384sentences,384sentences.disaster,27,Drought,disaster,A drought is a persistent lack of water caused by a lack of rainfall.,Drought is a prolonged shortage of water caused by insufficient rain.,"When there is an ongoing shortage of water due to a lack of rain, it is referred to as a drought.",a drought is a persistent shortage of the water supply caused by lack of rain.,a drought is a persistent lack of water caused by a lack of rainfall.,drought is a prolonged shortage of water caused by insufficient rain.,when there is an ongoing shortage of water due to a lack of rain it is referred to as a drought.,15,14,11,21,a drought is a persistent lack of water caused by a lack of rainfall.,1,1,a drought is a persistent lack of water caused by a lack of rainfall.,,
348,Drought will cause crops and plants to stop growing and die.,105,384sentences.105,384sentences,384sentences.disaster,27,Drought,disaster,The lack of water in a drought can cause crops and plants to wither and die.,"During a drought, the absence of water can result in crops and plants ceasing to grow and perishing.",A drought can result in crops and plants being unable to grow and eventually dying due to the lack of water.,drought will cause crops and plants to stop growing and die.,the lack of water in a drought can cause crops and plants to wither and die.,during a drought the absence of water can result in crops and plants ceasing to grow and perishing.,a drought can result in crops and plants being unable to grow and eventually dying due to the lack of water.,11,16,18,21,the lack of water in a drought can cause crops and plants to wither and die.,1,5,Drought leads to cessation of growth and death of crops and plants.,,1
349,Extreme drought will eventually turn areas into desert and cause famine.,106,384sentences.106,384sentences,384sentences.disaster,27,Drought,disaster,Areas can eventually transform into deserts and experience famine during an extreme drought.,"If a drought is extreme enough, it can cause regions to turn into deserts and face famine.",An extreme drought can result in areas becoming deserts and suffering from famine.,extreme drought will eventually turn areas into desert and cause famine.,areas can eventually transform into deserts and experience famine during an extreme drought.,if a drought is extreme enough it can cause regions to turn into deserts and face famine.,an extreme drought can result in areas becoming deserts and suffering from famine.,11,13,17,13,areas can eventually transform into deserts and experience famine during an extreme drought.,1,2,areas can eventually transform into deserts and experience famine during an extreme drought.,,
350,Large numbers of people have to migrate away from dust bowls.,107,384sentences.107,384sentences,384sentences.disaster,27,Drought,disaster,"Due to dust bowls, large numbers of people are forced to relocate.",Large populations of people must move away from areas affected by dust bowls.,Dust bowls can cause significant numbers of people to migrate.,large numbers of people have to migrate away from dust bowls.,due to dust bowls large numbers of people are forced to relocate.,large populations of people must move away from areas affected by dust bowls.,dust bowls can cause significant numbers of people to migrate.,11,12,13,10,due to dust bowls large numbers of people are forced to relocate.,1,1,due to dust bowls large numbers of people are forced to relocate.,,
351,Eagles are large birds of prey that hunt during the day and have very good eyesight.,108,384sentences.108,384sentences,384sentences.bird,28,Eagle,bird,Eagles are birds of prey that hunt during daylight hours and have keen vision.,Large birds of prey that hunt during the day and possess sharp vision are referred to as eagles.,Eagles are large birds that hunt during the day and boast remarkable eyesight.,eagles are large birds of prey that hunt during the day and have very good eyesight.,eagles are birds of prey that hunt during daylight hours and have keen vision.,large birds of prey that hunt during the day and possess sharp vision are referred to as eagles.,eagles are large birds that hunt during the day and boast remarkable eyesight.,16,14,18,13,eagles are birds of prey that hunt during daylight hours and have keen vision.,1,2,eagles are birds of prey that hunt during daylight hours and have good vision.,,1
352,"Eagles have hooked beaks for tearing flesh, strong legs and sharp talons.",109,384sentences.109,384sentences,384sentences.bird,28,Eagle,bird,"Eagles have beaks that are hooked for tearing flesh, strong legs, and claws that are sharp.","The hooked beaks of eagles are used to tear flesh, and they have strong legs and sharp claws.","Eagles possess hooked beaks for tearing flesh, sturdy legs, and claws that are keen.",eagles have hooked beaks for tearing flesh strong legs and sharp talons.,eagles have beaks that are hooked for tearing flesh strong legs and claws that are sharp.,the hooked beaks of eagles are used to tear flesh and they have strong legs and sharp claws.,eagles possess hooked beaks for tearing flesh sturdy legs and claws that are keen.,12,16,18,14,eagles possess hooked beaks for tearing flesh sturdy legs and claws that are keen.,3,2,eagles possess hooked beaks for tearing flesh sturdy legs and claws that are keen.,,
353,Eagles live in eyries and some species eat fish and others small mammals.,110,384sentences.110,384sentences,384sentences.bird,28,Eagle,bird,"Eagles reside in eyries and some species feed on fish, while others prey on small mammals.","Eyries are the homes of eagles, and some species feed on fish and others on small mammals.","Some species of eagles feed on fish, while others hunt small mammals, and they all live in eyries.",eagles live in eyries and some species eat fish and others small mammals.,eagles reside in eyries and some species feed on fish while others prey on small mammals.,eyries are the homes of eagles and some species feed on fish and others on small mammals.,some species of eagles feed on fish while others hunt small mammals and they all live in eyries.,13,16,17,18,eagles reside in eyries and some species feed on fish while others prey on small mammals.,1,3,eagles reside in eyries and some species feed on fish while others prey on small mammals.,,
354,The bald eagle has a bright white head and is the national bird of the United States.,111,384sentences.111,384sentences,384sentences.bird,28,Eagle,bird,The bald eagle has a head that is pure white and is the national bird of the United States.,"The national bird of the United States is the bald eagle, which has a head that is a brilliant white.","The bald eagle, which has a head that is as white as snow, is the national bird of the United States.",the bald eagle has a bright white head and is the national bird of the united states.,the bald eagle has a head that is pure white and is the national bird of the united states.,the national bird of the united states is the bald eagle which has a head that is a brilliant white.,the bald eagle which has a head that is as white as snow is the national bird of the united states.,17,19,20,21,the bald eagle has a head that is pure white and is the national bird of the united states.,1,2,the bald eagle has a head that is pure white and is the national bird of the united states.,,
355,Earthquakes shake the ground and can knock down buildings and other structures.,112,384sentences.112,384sentences,384sentences.disaster,29,Earthquake,disaster,Earthquakes cause the ground to shake and can bring down buildings and other structures.,The ground can shake and buildings and other structures can collapse during an earthquake.,Earthquakes can result in the ground shaking and the collapse of buildings and other structures.,earthquakes shake the ground and can knock down buildings and other structures.,earthquakes cause the ground to shake and can bring down buildings and other structures.,the ground can shake and buildings and other structures can collapse during an earthquake.,earthquakes can result in the ground shaking and the collapse of buildings and other structures.,12,14,14,15,earthquakes cause the ground to shake and can bring down buildings and other structures.,1,2,earthquakes cause the ground to shake and can bring down buildings and other structures.,,
356,The shaking can also trigger landslides and volcanic activity.,113,384sentences.113,384sentences,384sentences.disaster,29,Earthquake,disaster,Earthquakes can also lead to landslides and trigger volcanic activity.,Shaking from earthquakes can cause landslides and activate volcanic activity.,Landslides and volcanic activity can be initiated by the shaking caused by earthquakes.,the shaking can also trigger landslides and volcanic activity.,earthquakes can also lead to landslides and trigger volcanic activity.,shaking from earthquakes can cause landslides and activate volcanic activity.,landslides and volcanic activity can be initiated by the shaking caused by earthquakes.,9,10,10,13,earthquakes can also lead to landslides and trigger volcanic activity.,1,1,shaking can also lead to landslides and trigger volcanic activity.,,1
357,Most earthquakes are caused by the release of energy in the Earth's crust.,114,384sentences.114,384sentences,384sentences.disaster,29,Earthquake,disaster,Earthquakes are usually the result of energy being released in the Earth's crust.,The Earth's crust experiences energy releases that result in earthquakes.,Most earthquakes occur due to the release of energy stored in the Earth's crust.,most earthquakes are caused by the release of energy in the earth's crust.,earthquakes are usually the result of energy being released in the earth's crust.,the earth's crust experiences energy releases that result in earthquakes.,most earthquakes occur due to the release of energy stored in the earth's crust.,13,13,10,14,earthquakes are usually the result of energy being released in the earth's crust.,1,0,earthquakes are usually the result of energy being released in the earth's crust.,,
358,An earthquake at sea can displace the seabed and cause a tsunami.,115,384sentences.115,384sentences,384sentences.disaster,29,Earthquake,disaster,Earthquakes at sea can generate tsunamis by displacing the ocean floor.,The ocean floor can be displaced by earthquakes at sea and trigger tsunamis.,Tsunamis can be caused by earthquakes occurring in the ocean by shifting the seabed.,an earthquake at sea can displace the seabed and cause a tsunami.,earthquakes at sea can generate tsunamis by displacing the ocean floor.,the ocean floor can be displaced by earthquakes at sea and trigger tsunamis.,tsunamis can be caused by earthquakes occurring in the ocean by shifting the seabed.,12,11,13,14,earthquakes at sea can generate tsunamis by displacing the ocean floor.,1,1,earthquakes at sea can generate tsunamis by displacing the ocean floor.,,
359,"Elephants are the largest kind of land mammal, weighing several tons.",116,384sentences.116,384sentences,384sentences.animal,30,Elephant,animal,"Elephants are the largest terrestrial mammals, which can weigh many tons.","The largest mammals that roam the land are elephants, each weighing many tons.","The largest type of land mammal is the elephant, with individuals weighing tons.",elephants are the largest kind of land mammal weighing several tons.,elephants are the largest terrestrial mammals which can weigh many tons.,the largest mammals that roam the land are elephants each weighing many tons.,the largest type of land mammal is the elephant with individuals weighing tons.,11,11,13,13,elephants are the largest terrestrial mammals which can weigh many tons.,1,0,elephants are the largest terrestrial mammals which can weigh many tons.,,
360,"An elephant has a long nose called a trunk, which can grab things or food.",117,384sentences.117,384sentences,384sentences.animal,30,Elephant,animal,"An elephant has a trunk, which is its long nose that can pick up things.","An elephant's long nose, called a trunk, can grasp items or food.","Elephants have a long nose known as a trunk, which they use to hold objects.",an elephant has a long nose called a trunk which can grab things or food.,an elephant has a trunk which is its long nose that can pick up things.,an elephant's long nose called a trunk can grasp items or food.,elephants have a long nose known as a trunk which they use to hold objects.,15,15,12,15,an elephant has a trunk which is its long nose that can pick up things.,1,0,an elephant has a trunk which is its long nose that can pick up things.,,
361,"The elephant has a pair of ivory tusks, for moving objects or digging into trees.",118,384sentences.118,384sentences,384sentences.animal,30,Elephant,animal,Elephants have ivory tusks that they use to push or dig into trees.,A pair of ivory tusks is present in elephants which they use to dig or move things.,"Elephants have tusks made of ivory, which they use to move objects or dig in trees.",the elephant has a pair of ivory tusks for moving objects or digging into trees.,elephants have ivory tusks that they use to push or dig into trees.,a pair of ivory tusks is present in elephants which they use to dig or move things.,elephants have tusks made of ivory which they use to move objects or dig in trees.,15,13,17,16,elephants have tusks made of ivory which they use to move objects or dig in trees.,3,1,elephants have tusks made of ivory which they use to move objects or dig in trees.,,
362,The elephant flaps its large ears to cool the blood in them and its body.,119,384sentences.119,384sentences,384sentences.animal,30,Elephant,animal,"To cool the blood in their large ears and bodies, elephants flap their ears.",The large ears of elephants are flapped to lower the blood temperature in the ears and body.,The elephant's body and ear temperature is reduced by flapping its large ears.,the elephant flaps its large ears to cool the blood in them and its body.,to cool the blood in their large ears and bodies elephants flap their ears.,the large ears of elephants are flapped to lower the blood temperature in the ears and body.,the elephant's body and ear temperature is reduced by flapping its large ears.,15,14,17,13,to cool the blood in their large ears and bodies elephants flap their ears.,1,1,to cool the blood in their large ears and bodies elephants flap their ears.,,
363,The eye is an organ for sensing light and coding it for the visual cortex.,120,384sentences.120,384sentences,384sentences.body_part,31,Eye,body_part,The eye is responsible for detecting light and transmitting it to the visual cortex.,Light is detected and sent to the visual cortex by the eye organ.,The eye serves the function of sensing light and transmitting the information to the visual cortex.,the eye is an organ for sensing light and coding it for the visual cortex.,the eye is responsible for detecting light and transmitting it to the visual cortex.,light is detected and sent to the visual cortex by the eye organ.,the eye serves the function of sensing light and transmitting the information to the visual cortex.,15,14,13,16,the eye is responsible for detecting light and transmitting it to the visual cortex.,1,1,the eye is responsible for detecting light and transmitting it to the visual cortex.,,
364,"Most animals have complex eyes which can detect color, motion and texture.",121,384sentences.121,384sentences,384sentences.body_part,31,Eye,body_part,"Many animals have eyes that can identify color, movement, and patterns.","Animals often have complex eyes that can recognize color, motion and texture.","Complex eyes, capable of discerning color, movement, and texture, are common in animals.",most animals have complex eyes which can detect color motion and texture.,many animals have eyes that can identify color movement and patterns.,animals often have complex eyes that can recognize color motion and texture.,complex eyes capable of discerning color movement and texture are common in animals.,12,11,12,13,animals often have complex eyes that can recognize color motion and texture.,2,0,animals often have complex eyes that can recognize color motion and texture.,,
365,The fovea is the center of the human eye and the most sensitive part of it.,122,384sentences.122,384sentences,384sentences.body_part,31,Eye,body_part,The human eye's center and most sensitive area is the fovea.,The fovea is the center of the eye and the most sensitive part in humans.,"The human eye has a center called the fovea, which is the most sensitive portion.",the fovea is the center of the human eye and the most sensitive part of it.,the human eye's center and most sensitive area is the fovea.,the fovea is the center of the eye and the most sensitive part in humans.,the human eye has a center called the fovea which is the most sensitive portion.,16,11,15,15,the fovea is the center of the eye and the most sensitive part in humans.,2,1,the fovea is the center of the eye and the most sensitive part in humans.,,
366,Insects have compound eyes made up of eye units facing in many directions.,123,384sentences.123,384sentences,384sentences.body_part,31,Eye,body_part,"Compound eyes, consisting of eye units facing multiple directions, are present in insects.",Insects are equipped with compound eyes consisting of eye units facing various directions.,The eyes of insects are compound and consist of eye units facing multiple directions.,insects have compound eyes made up of eye units facing in many directions.,compound eyes consisting of eye units facing multiple directions are present in insects.,insects are equipped with compound eyes consisting of eye units facing various directions.,the eyes of insects are compound and consist of eye units facing multiple directions.,13,13,13,14,compound eyes consisting of eye units facing multiple directions are present in insects.,1,0,compound eyes consisting of eye units facing multiple directions are present in insects.,,
367,A farm is land used to grow plants or raise animals for food.,124,384sentences.124,384sentences,384sentences.place,32,Farm,place,A farm is a piece of land utilized to grow crops or raise livestock for food.,Land used to cultivate plants or rear animals for food is known as a farm.,Farms are defined as land utilized for the growth of crops or the raising of animals for food.,a farm is land used to grow plants or raise animals for food.,a farm is a piece of land utilized to grow crops or raise livestock for food.,land used to cultivate plants or rear animals for food is known as a farm.,farms are defined as land utilized for the growth of crops or the raising of animals for food.,13,16,15,18,land used to cultivate plants or rear animals for food is known as a farm.,2,2,land used to cultivate plants or rear animals for food is known as a farm.,,
368,Farmers are the people who run the farm and decide what to produce.,125,384sentences.125,384sentences,384sentences.place,32,Farm,place,People who operate the farm and make decisions on what to grow are known as farmers.,Farmers are responsible for running the farm and determining what crops to produce.,The individuals who run the farm and decide on its production are referred to as farmers.,farmers are the people who run the farm and decide what to produce.,people who operate the farm and make decisions on what to grow are known as farmers.,farmers are responsible for running the farm and determining what crops to produce.,the individuals who run the farm and decide on its production are referred to as farmers.,13,16,13,16,farmers are responsible for running the farm and determining what crops to produce.,2,0,farmers are responsible for running the farm and determining what crops to produce.,,
369,"Farms usually have a house for farmers, a silo and a barn.",126,384sentences.126,384sentences,384sentences.place,32,Farm,place,"On a farm, there is typically a house for the farmers, a silo, and a barn.","A farm typically includes a residence for farmers, a silo, and a barn.","The standard components of a farm include a house for the farmers, a silo, and a barn.",farms usually have a house for farmers a silo and a barn.,on a farm there is typically a house for the farmers a silo and a barn.,a farm typically includes a residence for farmers a silo and a barn.,the standard components of a farm include a house for the farmers a silo and a barn.,12,16,13,17,a farm typically includes a residence for farmers a silo and a barn.,2,1,a farm typically includes a residence for farmers a silo and a barn.,,
370,A cooperative is a farm where many farmers share the land and equipment.,127,384sentences.127,384sentences,384sentences.place,32,Farm,place,A cooperative is a type of farm in which many farmers share the land and equipment.,Many farmers who share the land and equipment operate a cooperative farm.,A cooperative is a farm that is run by multiple farmers who share the resources.,a cooperative is a farm where many farmers share the land and equipment.,a cooperative is a type of farm in which many farmers share the land and equipment.,many farmers who share the land and equipment operate a cooperative farm.,a cooperative is a farm that is run by multiple farmers who share the resources.,13,16,12,15,many farmers who share the land and equipment operate a cooperative farm.,2,1,many farmers who share the land and equipment operate a cooperative.,,1
371,Primates usually have four fingers and a thumb on each hand.,128,384sentences.128,384sentences,384sentences.body_part,33,Finger,body_part,Primates are characterized by having four fingers and a thumb on each hand.,Each hand of primates usually has four fingers and a thumb.,Primates typically possess four fingers and a thumb on each hand.,primates usually have four fingers and a thumb on each hand.,primates are characterized by having four fingers and a thumb on each hand.,each hand of primates usually has four fingers and a thumb.,primates typically possess four fingers and a thumb on each hand.,11,13,11,11,each hand of primates usually has four fingers and a thumb.,2,0,each hand of primates usually has four fingers and a thumb.,,
372,"Fingers are used for grasping, writing, grooming and other activities.",129,384sentences.129,384sentences,384sentences.body_part,33,Finger,body_part,"Fingers are employed for activities such as grasping, writing, grooming, etc.","Grasping, writing, grooming and other activities are performed with the help of fingers.","The fingers are used for tasks such as grasping, writing, grooming and more.",fingers are used for grasping writing grooming and other activities.,fingers are employed for activities such as grasping writing grooming etc.,grasping writing grooming and other activities are performed with the help of fingers.,the fingers are used for tasks such as grasping writing grooming and more.,10,11,13,13,fingers are employed for activities such as grasping writing grooming etc.,1,1,fingers are employed for activities such as grasping writing grooming and such.,,1
373,"The fingertips are sensitive to temperature, pressure and vibration.",130,384sentences.130,384sentences,384sentences.body_part,33,Finger,body_part,"The fingertips are sensitive to factors such as temperature, pressure, and vibration.","Temperature, pressure, and vibration are detected by the sensitivity of the fingertips.","The fingertips possess sensitivity to temperature, pressure, and vibration.",the fingertips are sensitive to temperature pressure and vibration.,the fingertips are sensitive to factors such as temperature pressure and vibration.,temperature pressure and vibration are detected by the sensitivity of the fingertips.,the fingertips possess sensitivity to temperature pressure and vibration.,9,12,12,9,the fingertips possess sensitivity to temperature pressure and vibration.,3,0,the fingertips possess sensitivity to temperature pressure and vibration.,,
374,The nail protects the tip of the finger and can be grown or decorated.,131,384sentences.131,384sentences,384sentences.body_part,33,Finger,body_part,"The finger tip is protected by the nail, which can be grown or decorated.","The nail, which can be grown or adorned, protects the tip of the finger.","The tip of the finger is safeguarded by the nail, which can be lengthened or decorated.",the nail protects the tip of the finger and can be grown or decorated.,the finger tip is protected by the nail which can be grown or decorated.,the nail which can be grown or adorned protects the tip of the finger.,the tip of the finger is safeguarded by the nail which can be lengthened or decorated.,14,14,14,16,the finger tip is protected by the nail which can be grown or decorated.,1,0,the finger tip is protected by the nail which can be grown or decorated.,,
375,A flood is an overflow of an expanse of water that submerges inhabited land.,132,384sentences.132,384sentences,384sentences.disaster,34,Flood,disaster,An overflow of water that submerges inhabited land is known as a flood.,A flood occurs when an expanse of water overflows and submerges inhabited land.,"When water overflows and submerges inhabited land, it is referred to as a flood.",a flood is an overflow of an expanse of water that submerges inhabited land.,an overflow of water that submerges inhabited land is known as a flood.,a flood occurs when an expanse of water overflows and submerges inhabited land.,when water overflows and submerges inhabited land it is referred to as a flood.,14,13,13,14,when water overflows and submerges inhabited land it is referred to as a flood.,3,0,when water overflows and submerges inhabited land it is referred to as a flood.,,
376,"Flood can be caused by heavy rain or rapid snow melt, as well as earthquakes at sea.",133,384sentences.133,384sentences,384sentences.disaster,34,Flood,disaster,"Flooding is often the result of intense precipitation, a fast-melting snowpack, or earthquakes at sea.","Overflow of water can be caused by heavy rain, rapidly melting snow, or earthquakes.","Causes of a flood may include intense rain, melting snow, or seismic activity at sea.",flood can be caused by heavy rain or rapid snow melt as well as earthquakes at sea.,flooding is often the result of intense precipitation a fast-melting snowpack or earthquakes at sea.,overflow of water can be caused by heavy rain rapidly melting snow or earthquakes.,causes of a flood may include intense rain melting snow or seismic activity at sea.,17,15,14,15,flooding is often the result of intense precipitation a fast-melting snowpack or earthquakes at sea.,1,2,flooding is often the result of intense precipitation a fast-melting snowpack or earthquakes at sea.,,
377,In a flood a river will flow out of its channel or break dams and levees.,134,384sentences.134,384sentences,384sentences.disaster,34,Flood,disaster,"In the event of a flood, a river may exceed its banks or cause dams and levees to fail.","When there is a flood, the water in the river may overflow or dams and levees may break.",A river can flood by flowing out of its channel or breaking dams and levees.,in a flood a river will flow out of its channel or break dams and levees.,in the event of a flood a river may exceed its banks or cause dams and levees to fail.,when there is a flood the water in the river may overflow or dams and levees may break.,a river can flood by flowing out of its channel or breaking dams and levees.,16,19,18,15,a river can flood by flowing out of its channel or breaking dams and levees.,3,1,a river can flood by flowing out of its channel or breaking dams and levees.,,
378,During a flood people evacuate and the contaminated water causes diseases.,135,384sentences.135,384sentences,384sentences.disaster,34,Flood,disaster,"People usually evacuate during a flood, and the water can spread diseases.",A flood necessitates evacuation and the contaminated water presents a health risk.,"In a flood, inhabitants must evacuate, and the water is often contaminated.",during a flood people evacuate and the contaminated water causes diseases.,people usually evacuate during a flood and the water can spread diseases.,a flood necessitates evacuation and the contaminated water presents a health risk.,in a flood inhabitants must evacuate and the water is often contaminated.,11,12,12,12,people usually evacuate during a flood and the water can spread diseases.,1,1,people usually evacuate during a flood and the water can spread diseases.,,
379,"A floor is a horizontal surface inside a building, used for walking on.",136,384sentences.136,384sentences,384sentences.building_part,35,Floor,building_part,A floor is a horizontal surface inside a building meant for walking.,Floors serve as a surface for walking inside buildings.,The surface people walk on inside a building is referred to as a floor.,a floor is a horizontal surface inside a building used for walking on.,a floor is a horizontal surface inside a building meant for walking.,floors serve as a surface for walking inside buildings.,the surface people walk on inside a building is referred to as a floor.,13,12,9,14,a floor is a horizontal surface inside a building meant for walking.,1,1,a floor is a horizontal surface inside a building meant for walking.,,
380,"Floors may be made of bare concrete, tile, linoleum or wooden floorboards.",137,384sentences.137,384sentences,384sentences.building_part,35,Floor,building_part,"The materials used to construct floors can include bare concrete, tile, linoleum, or wooden floorboards.","Floors may be comprised of materials such as concrete, tile, linoleum, or wooden floorboards.","Different materials used for flooring include concrete, tile, linoleum, or wooden floorboards.",floors may be made of bare concrete tile linoleum or wooden floorboards.,the materials used to construct floors can include bare concrete tile linoleum or wooden floorboards.,floors may be comprised of materials such as concrete tile linoleum or wooden floorboards.,different materials used for flooring include concrete tile linoleum or wooden floorboards.,12,15,14,12,different materials used for flooring include concrete tile linoleum or wooden floorboards.,3,0,different materials used for flooring include concrete tile linoleum or wooden floorboards.,,
381,"People often put carpets on a floor, for comfort and to dampen noise.",138,384sentences.138,384sentences,384sentences.building_part,35,Floor,building_part,Carpets are commonly placed on floors to provide comfort and reduce noise.,People often put carpets on their floors to make the space more comfortable and quieter.,"Carpets are a popular addition to floors, as they offer comfort and soundproofing.",people often put carpets on a floor for comfort and to dampen noise.,carpets are commonly placed on floors to provide comfort and reduce noise.,people often put carpets on their floors to make the space more comfortable and quieter.,carpets are a popular addition to floors as they offer comfort and soundproofing.,13,12,15,13,carpets are a popular addition to floors as they offer comfort and soundproofing.,3,0,carpets are a popular addition to floors as they offer comfort and soundproofing.,,
382,In buildings the floor often has pipes and electrical wiring under it.,139,384sentences.139,384sentences,384sentences.building_part,35,Floor,building_part,Flooring in buildings may contain pipes and electrical wiring.,Pipes and electrical wiring are often located under the floor in buildings.,Buildings may have pipes and electrical wiring situated beneath the floor.,in buildings the floor often has pipes and electrical wiring under it.,flooring in buildings may contain pipes and electrical wiring.,pipes and electrical wiring are often located under the floor in buildings.,buildings may have pipes and electrical wiring situated beneath the floor.,12,9,12,11,pipes and electrical wiring are often located under the floor in buildings.,2,0,pipes and electrical wiring are often located under the floor in buildings.,,
383,A foot is a body part on the end of a leg. ,140,384sentences.140,384sentences,384sentences.body_part,36,Foot,body_part,A foot is the body part located at the end of a leg.,The foot is the body part attached to the bottom of a leg.,The body part situated at the bottom of a leg is referred to as a foot.,a foot is a body part on the end of a leg .,a foot is the body part located at the end of a leg.,the foot is the body part attached to the bottom of a leg.,the body part situated at the bottom of a leg is referred to as a foot.,13,13,13,16,a foot is the body part located at the end of a leg.,1,0,a foot is the body part located at the end of a leg.,,
384,"People use their feet when walking, running or standing straight.",141,384sentences.141,384sentences,384sentences.body_part,36,Foot,body_part,"People use their legs when they move, either by walking, running, or standing upright.","People's feet play a crucial role in activities like walking, running, and standing.","The feet are utilized for walking, running, and standing straight.",people use their feet when walking running or standing straight.,people use their legs when they move either by walking running or standing upright.,people's feet play a crucial role in activities like walking running and standing.,the feet are utilized for walking running and standing straight.,10,14,13,10,the feet are utilized for walking running and standing straight.,3,0,the feet are utilized for walking running and standing straight.,,
385,"People also use their feet to kick, in both fighting and sports.",142,384sentences.142,384sentences,384sentences.body_part,36,Foot,body_part,"Feet are also employed for kicking, in sports and combat.","The feet can be used for kicking, both in athletic and martial contexts.","Kicking is another activity that involves the use of feet, both in sports and in fighting.",people also use their feet to kick in both fighting and sports.,feet are also employed for kicking in sports and combat.,the feet can be used for kicking both in athletic and martial contexts.,kicking is another activity that involves the use of feet both in sports and in fighting.,12,10,13,16,the feet can be used for kicking both in athletic and martial contexts.,2,1,the feet can be used for kicking both in athletic and martial contexts.,,
386,Many cultures have rules for behavior related to feet.,143,384sentences.143,384sentences,384sentences.body_part,36,Foot,body_part,"In some cultures, there are regulations on foot-related behavior.",Some cultures have customs that dictate how feet should be treated.,Cultural norms often dictate how feet should be handled and behave.,many cultures have rules for behavior related to feet.,in some cultures there are regulations on foot-related behavior.,some cultures have customs that dictate how feet should be treated.,cultural norms often dictate how feet should be handled and behave.,9,9,11,11,in some cultures there are regulations on foot-related behavior.,1,0,in some cultures there are regulations on foot-related behavior.,,
387,A forest is an area with a high density of trees and canopy cover.,144,384sentences.144,384sentences,384sentences.landscape,37,Forest,landscape,"A forest is a dense concentration of trees, with a well-developed canopy.","Forests are regions with a high number of trees, and a dense cover overhead.",An area with a high number of trees and overhead coverage is referred to as a forest.,a forest is an area with a high density of trees and canopy cover.,a forest is a dense concentration of trees with a well-developed canopy.,forests are regions with a high number of trees and a dense cover overhead.,an area with a high number of trees and overhead coverage is referred to as a forest.,14,12,14,17,forests are regions with a high number of trees and a dense cover overhead.,2,0,A dense collection of trees with a significant amount of canopy coverage characterizes a forest.,,1
388,The type of forest depends on temperature and rainfall in its location.,145,384sentences.145,384sentences,384sentences.landscape,37,Forest,landscape,The type of forest that exists depends on the temperature and amount of rainfall in a particular location.,"Forest classification is determined by the climatic conditions, such as temperature and rainfall.",The temperature and rainfall in a region dictate the type of forest that thrives there.,the type of forest depends on temperature and rainfall in its location.,the type of forest that exists depends on the temperature and amount of rainfall in a particular location.,forest classification is determined by the climatic conditions such as temperature and rainfall.,the temperature and rainfall in a region dictate the type of forest that thrives there.,12,18,13,15,forest classification is determined by the climatic conditions such as temperature and rainfall.,2,1,forest classification is determined by the climatic conditions such as temperature and rainfall.,,
